name,longitude,latitude
Brooklyn-Academy-Of-Music,40.68649829,-73.97769362
Frost-Playground,40.71871901,-73.93902854
Brevoort-Playground,40.68045396,-73.92270839
Underwood-Park,40.68856034,-73.96641916
Howard-Playground,40.67167401,-73.90815845
Howard-Pool,40.6725281,-73.90945421
Potomac-Playground,40.68203566,-73.94462271
Sumner-Playground,40.69723589,-73.94278957
Roebling-Playground,40.70634774,-73.96179283
Rainbow-Playground,40.64056573,-74.01108374
Star-Spangled-Playground,40.69190953,-73.9580281
Jesse-Owens-Playground,40.6914431,-73.93246808
Brownsville-Playground,40.6567088,-73.90173968
Railroad-Playground,40.64942666,-73.91427312
Marlboro-Playground,40.59120435,-73.98087803
Aimee-Triangle,40.61298388,-73.94400149
Bayview-Playground,40.63486498,-73.88691319
Grady-Playground,40.58305317,-73.96475344
J-W-Person-Square,40.69338762,-73.97304594
Benson-Playground,40.60241858,-74.00220663
Sam-Leggio-Triangle,40.68506595,-73.88194524
Wilson-Playground,40.64256878,-73.89482381
Nellie-Bly-Park,40.5908879,-73.99446758
Marc-And-Jasons-Playground,40.66345233,-73.94946409
Harry-Maze-Playground,40.64339899,-73.92317551
Bartlett-Playground,40.7009147,-73.94604498
Andries-Playground,40.62277189,-73.94642664
Cutinella-Triangle,40.59184971,-73.97684851
Public-Place,40.67827303,-73.86511345
Power-Playground,40.61815313,-73.92732243
Pratt-Playground,40.69260328,-73.96245639
Oxport-Playground,40.6975405,-73.97623096
Albemarle-Playground,40.64574448,-73.98057504
Stockton-Playground,40.6973346,-73.94854494
Oracle-Playground,40.69391086,-73.9715165
Charlies-Place,40.6991186,-73.94601091
Kennedy-King-Playground,40.65861012,-73.9220545
Playground-286,40.59093295,-73.93852109
Tiger-Playground,40.68823936,-73.91098228
Yak-Playground,40.59260624,-73.936536
Pink-Playground,40.66656473,-73.86268273
Ten-Eyck-Playground,40.7088573,-73.93885496
Woodruff-Playground,40.66543929,-73.86606021
El-Shabazz-Playground,40.6827838,-73.93042776
Surf-Playground,40.57365625,-73.9923442
DiGilio-Playground,40.63267847,-73.97714649
Lafayette-Gardens-Playground,40.68958874,-73.9573993
Park-Slope-Playground,40.67685804,-73.97851543
Edmonds-Playground,40.68921801,-73.97155682
Pulaski-Playground,40.69360631,-73.94169585
Hattie-Carthan-Playground,40.68560722,-73.94611963
Jacob-Joffe-Fields,40.62537299,-73.91936836
Fish-Playground,40.67825184,-73.9147725
Cobble-Hill-Park,40.68821974,-73.99599164
Lindower-Park,40.61227835,-73.91159874
Hickman-Playground,40.62025419,-73.91291724
Neptune-Playground,40.57816101,-73.98059287
